Date,1 Day Advertised SKU Conversions,1 Day Total Conversions,Customer Search Term,Keyword ID,Keyword Text,Match Type,Ad Group ID,Ad Group Name,Campaign ID,Campaign Name,Campaign Status,Clicks,Cost (*),Impressions,Portfolio Name
45903,0,0,asphalt driveway sealer roller kit 18 inch,332838813528827,+18 +inch +roller +kit,BROAD,407819491721155,Roller Tray & Ex Pole Manual Targeting Ad group - 3/21/2025 20:08:22,301818806997849,"Rollers, Frame, Tray, Pole - Man. Targeting (2 kits) Shane",ENABLED,1,0.5,1,Paint Roller Kits
45903,0,0,b0d15vk82y,396699657220434,substitutes,TARGETING_EXPRESSION_PREDEFINED,552580249355790,Ad Group - 8/21/2025 19:21:44.698,382684540017146,Roller Kit Pole Auto - 8/21/2025 19:21:45.117,ENABLED,1,0.63,1,Paint Roller Kits
45903,0,0,b09b1qt2rp,468476619788956,substitutes,TARGETING_EXPRESSION_PREDEFINED,403745218858858,Ad Group - 8/21/2025 19:45:52.811,470908704943920,SmokeXtractor Auto - 8/21/2025 19:45:53.256,ENABLED,1,0.75,1,
45903,0,0,b0cy63r179,468476619788956,substitutes,TARGETING_EXPRESSION_PREDEFINED,403745218858858,Ad Group - 8/21/2025 19:45:52.811,470908704943920,SmokeXtractor Auto - 8/21/2025 19:45:53.256,ENABLED,1,0.75,1,
45903,0,0,car seat belt grabber,140246648303326,+seat +belt +grabber,BROAD,42412715142864,Ad group - 1/16/2023 21:37:33,53630664382317,Seat Belt grabber 2 pack,ENABLED,1,0.47,2,Seat belt grabber
45903,0,0,foldable outdoor picnic table,361277556219128,close-match,TARGETING_EXPRESSION_PREDEFINED,395211320602878,Picnic Table - SP - AUTO Catchall $0.15 (Shane),369738110835515,Picnic Table - SP - AUTO Catchall $0.15 (Shane) - B0DX8Q1G27,ENABLED,1,0.75,2,Picnic Table
45903,0,0,roller of 3 inch for painting walls,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,2,Paint roller cover
45903,0,0,cigarette smoke eliminator,561874502373229,cigarette smoke eliminator,EXACT,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,1,1.0,2,Smoke Extractor
45903,0,0,18 paint roller,528343773880563,"keyword-group=""category""",TARGETING_EXPRESSION,407819491721155,Roller Tray & Ex Pole Manual Targeting Ad group - 3/21/2025 20:08:22,301818806997849,"Rollers, Frame, Tray, Pole - Man. Targeting (2 kits) Shane",ENABLED,1,0.5,3,Paint Roller Kits
45903,0,0,paint roller pole,542168944705082,close-match,TARGETING_EXPRESSION_PREDEFINED,552580249355790,Ad Group - 8/21/2025 19:21:44.698,382684540017146,Roller Kit Pole Auto - 8/21/2025 19:21:45.117,ENABLED,1,0.63,3,Paint Roller Kits
