Date,Customer Search Term,Keyword ID,Keyword Text,Match Type,Ad Group ID,Ad Group Name,Campaign ID,Campaign Name,Campaign Status,Clicks,Cost (*),Impressions,Portfolio Name,1 Day Total Conversions,1 Day Advertised SKU Conversions
45901,,,,,273434202641670,Ad group - 1/27/2023 19:31:20,146420942892172,Seat belt grabber exact,PAUSED,0,0.0,1,Seat belt grabber,0,0
45901,,,,,10128243813168,Ad group - 10/17/2022 07:50:33,67630955342793,Temco Fireplace door,ENABLED,0,0.0,9,Fireplace doors,0,0
45901,,,,,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,2,1.0,62,Fireplace doors,0,0
45901,,,,,28821048686590,Ad group - 10/17/2022 08:15:58,137462756850400,Majetic Fireplace doors,ENABLED,1,0.08,30,Fireplace doors,0,0
45901,,,,,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,3,1.45,62,Fireplace doors,0,0
45901,,,,,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,0,0.0,54,,0,0
45901,,,,,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,7,5.19,847,Fireplace Painting Kit,0,0
45901,,,,,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,0,0.0,131,Paint roller cover,0,0
45901,,,,,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.75,332,,0,0
45901,,,,,141498660241410,Ad group - 10/17/2022 08:25:25,21856195244708,FMI Fireplace Door,ENABLED,1,0.2,4,Fireplace doors,0,0
45901,,,,,407819491721155,Roller Tray & Ex Pole Manual Targeting Ad group - 3/21/2025 20:08:22,301818806997849,"Rollers, Frame, Tray, Pole - Man. Targeting (2 kits) Shane",ENABLED,4,2.0,633,Paint Roller Kits,0,0
45901,,,,,344749618772291,Ad Group - 8/21/2025 19:19:02.133,453073120459496,Roller Kit Tray Auto - 8/21/2025 19:19:02.436,ENABLED,2,1.26,39,Paint Roller Kits,0,0
45901,,,,,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,2,2.24,122,Smoke Extractor,0,0
45901,,,,,42412715142864,Ad group - 1/16/2023 21:37:33,53630664382317,Seat Belt grabber 2 pack,ENABLED,2,1.12,132,Seat belt grabber,0,0
45901,,,,,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,2,1.53,474,Paint roller cover,0,0
45901,,,,,395211320602878,Picnic Table - SP - AUTO Catchall $0.15 (Shane),369738110835515,Picnic Table - SP - AUTO Catchall $0.15 (Shane) - B0DX8Q1G27,ENABLED,3,2.25,189,Picnic Table,0,0
45901,,,,,403745218858858,Ad Group - 8/21/2025 19:45:52.811,470908704943920,SmokeXtractor Auto - 8/21/2025 19:45:53.256,ENABLED,3,2.55,234,,2,2
45901,,,,,552580249355790,Ad Group - 8/21/2025 19:21:44.698,382684540017146,Roller Kit Pole Auto - 8/21/2025 19:21:45.117,ENABLED,4,2.52,339,Paint Roller Kits,0,0
